
> angular-demo-todo@1.0.0 build D:\Source\Repos\angular-demo-todo
> webpack --env=dev --progress

{ ALLUSERSPROFILE: 'C:\\ProgramData',
  APPDATA: 'C:\\Users\\BZMK0C\\AppData\\Roaming',
  CommonProgramFiles: 'C:\\Program Files\\Common Files',
  'CommonProgramFiles(x86)': 'C:\\Program Files (x86)\\Common Files',
  CommonProgramW6432: 'C:\\Program Files\\Common Files',
  COMPUTERNAME: 'USRWEWNCN91VKK1',
  ComSpec: 'C:\\WINDOWS\\system32\\cmd.exe',
  DEFLOGDIR: 'C:\\ProgramData\\McAfee\\DesktopProtection',
  FP_NO_HOST_CHECK: 'NO',
  GOOGLE_API_KEY: 'AIzaSyAQfxPJiounkhOjODEO5ZieffeBv6yft2Q',
  HOME: 'C:\\Users\\BZMK0C',
  HOMEDRIVE: 'H:',
  HOMEPATH: '\\',
  HOMESHARE: '\\\\DCWIPVFNAM009\\users$\\BZMK0C',
  LANG: 'en_US.UTF-8',
  LOCALAPPDATA: 'C:\\Users\\BZMK0C\\AppData\\Local',
  LOGONSERVER: '\\\\DCWIPVCNAM103',
  NODE: 'C:\\Program Files\\nodejs\\node.exe',
  NODE_EXE: 'C:\\Program Files\\nodejs\\\\node.exe',
  NPM_CLI_JS: 'C:\\Users\\BZMK0C\\AppData\\Roaming\\npm\\node_modules\\npm\\bin\\npm-cli.js',
  npm_config_access: '',
  npm_config_allow_same_version: '',
  npm_config_also: '',
  npm_config_always_auth: '',
  npm_config_argv: '{"remain":[],"cooked":["run","build"],"original":["run","build"]}',
  npm_config_auth_type: 'legacy',
  npm_config_bin_links: 'true',
  npm_config_browser: '',
  npm_config_ca: '',
  npm_config_cache: 'C:\\Users\\BZMK0C\\AppData\\Roaming\\npm-cache',
  npm_config_cache_lock_retries: '10',
  npm_config_cache_lock_stale: '60000',
  npm_config_cache_lock_wait: '10000',
  npm_config_cache_max: 'Infinity',
  npm_config_cache_min: '10',
  npm_config_cafile: '',
  npm_config_cert: '',
  npm_config_color: 'true',
  npm_config_depth: 'Infinity',
  npm_config_description: 'true',
  npm_config_dev: '',
  npm_config_dry_run: '',
  npm_config_editor: 'notepad.exe',
  npm_config_engine_strict: '',
  npm_config_fetch_retries: '2',
  npm_config_fetch_retry_factor: '10',
  npm_config_fetch_retry_maxtimeout: '60000',
  npm_config_fetch_retry_mintimeout: '10000',
  npm_config_force: '',
  npm_config_git: 'git',
  npm_config_git_tag_version: 'true',
  npm_config_global: '',
  npm_config_globalconfig: 'C:\\Users\\BZMK0C\\AppData\\Roaming\\npm\\etc\\npmrc',
  npm_config_globalignorefile: 'C:\\Users\\BZMK0C\\AppData\\Roaming\\npm\\etc\\npmignore',
  npm_config_global_style: '',
  npm_config_group: '',
  npm_config_ham_it_up: '',
  npm_config_heading: 'npm',
  npm_config_https_proxy: 'http://naproxy.gm.com:8080/',
  npm_config_if_present: '',
  npm_config_ignore_prepublish: '',
  npm_config_ignore_scripts: '',
  npm_config_init_author_email: '',
  npm_config_init_author_name: '',
  npm_config_init_author_url: '',
  npm_config_init_license: 'ISC',
  npm_config_init_module: 'C:\\Users\\BZMK0C\\.npm-init.js',
  npm_config_init_version: '1.0.0',
  npm_config_json: '',
  npm_config_key: '',
  npm_config_legacy_bundling: '',
  npm_config_link: '',
  npm_config_local_address: '',
  npm_config_loglevel: 'warn',
  npm_config_logs_max: '10',
  npm_config_long: '',
  npm_config_maxsockets: '50',
  npm_config_message: '%s',
  npm_config_metrics_registry: 'http://registry.npmjs.org/',
  npm_config_node_version: '6.11.0',
  npm_config_offline: '',
  npm_config_onload_script: '',
  npm_config_only: '',
  npm_config_optional: 'true',
  npm_config_package_lock: 'true',
  npm_config_parseable: '',
  npm_config_prefer_offline: '',
  npm_config_prefer_online: '',
  npm_config_prefix: 'C:\\Users\\BZMK0C\\AppData\\Roaming\\npm',
  npm_config_production: '',
  npm_config_progress: '',
  npm_config_proprietary_attribs: 'true',
  npm_config_proxy: 'http://naproxy.gm.com:8080/',
  npm_config_rebuild_bundle: 'true',
  npm_config_registry: 'http://registry.npmjs.org/',
  npm_config_rollback: 'true',
  npm_config_save: 'true',
  npm_config_save_bundle: '',
  npm_config_save_dev: '',
  npm_config_save_exact: '',
  npm_config_save_optional: '',
  npm_config_save_prefix: '^',
  npm_config_save_prod: '',
  npm_config_scope: '',
  npm_config_scripts_prepend_node_path: 'warn-only',
  npm_config_searchexclude: '',
  npm_config_searchlimit: '20',
  npm_config_searchopts: '',
  npm_config_searchstaleness: '900',
  npm_config_send_metrics: '',
  npm_config_shell: 'C:\\WINDOWS\\system32\\cmd.exe',
  npm_config_shrinkwrap: 'true',
  npm_config_sign_git_tag: '',
  npm_config_sso_poll_frequency: '500',
  npm_config_sso_type: 'oauth',
  npm_config_strict_ssl: '',
  npm_config_tag: 'latest',
  npm_config_tag_version_prefix: 'v',
  npm_config_timing: '',
  npm_config_tmp: 'C:\\Users\\BZMK0C\\AppData\\Local\\Temp',
  npm_config_umask: '0000',
  npm_config_unicode: '',
  npm_config_unsafe_perm: 'true',
  npm_config_usage: '',
  npm_config_user: '',
  npm_config_userconfig: 'C:\\Users\\BZMK0C\\.npmrc',
  npm_config_user_agent: 'npm/5.0.3 node/v6.11.0 win32 x64',
  npm_config_version: '',
  npm_config_versions: '',
  npm_config_viewer: 'browser',
  npm_execpath: 'C:\\Users\\BZMK0C\\AppData\\Roaming\\npm\\node_modules\\npm\\bin\\npm-cli.js',
  npm_lifecycle_event: 'build',
  npm_lifecycle_script: 'webpack --env=dev --progress',
  npm_node_execpath: 'C:\\Program Files\\nodejs\\node.exe',
  npm_package_author_email: 'brittanymoore',
  npm_package_author_name: 'Brittany Moore',
  npm_package_bugs_url: 'https://github.com/brittanymoore/angular-demo-todo/issues',
  npm_package_dependencies_core_js: '2.5.1',
  npm_package_dependencies_rxjs: '5.4.3',
  npm_package_dependencies_zone_js: '0.8.17',
  npm_package_dependencies__angular_animations: '4.3.6',
  npm_package_dependencies__angular_common: '4.3.6',
  npm_package_dependencies__angular_compiler: '4.3.6',
  npm_package_dependencies__angular_compiler_cli: '4.3.6',
  npm_package_dependencies__angular_core: '4.3.6',
  npm_package_dependencies__angular_forms: '4.3.6',
  npm_package_dependencies__angular_http: '4.3.6',
  npm_package_dependencies__angular_platform_browser: '4.3.6',
  npm_package_dependencies__angular_platform_browser_dynamic: '4.3.6',
  npm_package_dependencies__angular_platform_server: '4.3.6',
  npm_package_dependencies__angular_router: '4.3.6',
  npm_package_description: 'A simple app to demonstrate mocking and testing.',
  npm_package_devDependencies_angular2_template_loader: '0.6.2',
  npm_package_devDependencies_angular_router_loader: '0.6.0',
  npm_package_devDependencies_autoprefixer: '7.1.4',
  npm_package_devDependencies_awesome_typescript_loader: '3.2.3',
  npm_package_devDependencies_codelyzer: '3.1.2',
  npm_package_devDependencies_css_loader: '0.28.7',
  npm_package_devDependencies_exports_loader: '0.6.4',
  npm_package_devDependencies_extract_text_webpack_plugin: '^3.0.2',
  npm_package_devDependencies_file_loader: '0.11.2',
  npm_package_devDependencies_html_webpack_plugin: '2.30.1',
  npm_package_devDependencies_istanbul_instrumenter_loader: '^3.0.0',
  npm_package_devDependencies_jasmine: '2.8.0',
  npm_package_devDependencies_jasmine_core: '2.8.0',
  npm_package_devDependencies_karma: '1.7.1',
  npm_package_devDependencies_karma_chrome_launcher: '2.2.0',
  npm_package_devDependencies_karma_coverage: '^1.1.1',
  npm_package_devDependencies_karma_jasmine: '1.1.0',
  npm_package_devDependencies_karma_sourcemap_loader: '0.3.7',
  npm_package_devDependencies_karma_spec_reporter: '0.0.31',
  npm_package_devDependencies_karma_webpack: '2.0.4',
  npm_package_devDependencies_material_design_icons: '^3.0.1',
  npm_package_devDependencies_node_sass: '4.5.3',
  npm_package_devDependencies_postcss_loader: '2.0.6',
  npm_package_devDependencies_protractor: '5.1.2',
  npm_package_devDependencies_raw_loader: '0.5.1',
  npm_package_devDependencies_rimraf: '2.6.1',
  npm_package_devDependencies_sass_loader: '6.0.6',
  npm_package_devDependencies_style_loader: '^0.19.0',
  npm_package_devDependencies_tslint: '5.7.0',
